<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
SGN,20170307,167.79,167.79,167.79,167.79,3900,170.00,170.00,170.00,170.00,0,0,0
SGN,20170306,167.79,167.79,163.84,163.84,400,170.00,170.00,166.00,166.00,0,400,0
SGN,20170303,157.91,162.36,157.91,162.36,2600,160.00,164.50,160.00,164.50,0,0,0
SGN,20170302,155.95,155.95,155.95,155.94,1700,158.00,158.00,158.00,158.00,0,0,1700
SGN,20170301,161.17,161.17,157.92,157.92,1100,163.30,163.30,160.00,160.00,0,0,0
SGN,20170228,160.88,166.80,157.92,162.85,1700,163.00,169.00,160.00,165.00,0,0,0
SGN,20170227,167.78,167.78,167.78,167.79,700,170.00,170.00,170.00,170.00,91900,0,0
SGN,20170224,158.91,158.91,155.95,155.94,1800,161.00,161.00,158.00,158.00,0,0,0
SGN,20170223,159.79,167.79,159.79,167.79,2860,161.90,170.00,161.90,170.00,0,0,100
SGN,20170222,167.79,167.79,157.82,157.82,2200,170.00,170.00,159.90,159.90,0,0,0
SGN,20170221,189.50,189.50,179.63,179.63,1300,192.00,192.00,182.00,182.00,0,0,0
SGN,20170220,192.46,192.46,186.54,188.51,9441,195.00,195.00,189.00,191.00,0,8000,0
SGN,20170217,191.47,191.47,189.50,189.50,1919,194.00,194.00,192.00,192.00,0,0,0
SGN,20170216,172.72,172.72,172.72,172.72,1501,175.00,175.00,175.00,175.00,0,800,0
SGN,20170215,155.45,173.22,155.45,173.21,1400,157.50,175.50,157.50,175.50,0,0,0
SGN,20170214,151.01,157.92,151.01,157.92,1922,153.00,160.00,153.00,160.00,0,0,200
SGN,20170213,148.05,153.97,148.05,153.97,540,150.00,156.00,150.00,156.00,0,400,300
SGN,20170209,156.93,156.93,156.93,156.93,140,159.00,159.00,159.00,159.00,0,0,0
SGN,20170208,157.92,157.92,148.05,148.05,3005,160.00,160.00,150.00,150.00,0,0,0
SGN,20170207,152.98,156.93,152.98,156.93,300,155.00,159.00,155.00,159.00,0,0,0
SGN,20170206,152.98,152.98,152.98,152.98,200,155.00,155.00,155.00,155.00,0,0,0
SGN,20170202,137.19,137.19,137.19,137.19,3000,139.00,139.00,139.00,139.00,0,2000,3000
SGN,20170124,139.26,139.26,139.26,139.26,40,141.10,141.10,141.10,141.10,0,0,0
SGN,20170120,139.26,139.26,139.26,139.26,1,141.10,141.10,141.10,141.10,0,0,0
SGN,20170119,139.26,139.36,139.16,139.36,1100,141.10,141.20,141.00,141.20,0,100,0
SGN,20170118,139.26,139.26,139.26,139.26,20,141.10,141.10,141.10,141.10,0,0,0
SGN,20170117,139.26,139.26,139.17,139.16,200,141.10,141.10,141.00,141.00,0,0,0
SGN,20170113,141.14,141.14,141.14,141.14,20,143.00,143.00,143.00,143.00,0,0,0
SGN,20170111,141.14,141.14,141.14,141.14,1420,143.00,143.00,143.00,143.00,0,0,0
SGN,20170109,143.11,145.08,143.11,145.08,506,145.00,147.00,145.00,147.00,0,0,0
SGN,20170106,147.65,147.65,147.65,147.65,1,149.60,149.60,149.60,149.60,0,0,0
SGN,20170103,140.25,151.99,140.25,151.99,2565,142.10,154.00,142.10,154.00,0,0,0
SGN,20161230,138.18,140.15,138.18,140.15,300,140.00,142.00,140.00,142.00,0,100,0
SGN,20161227,138.18,138.18,138.18,138.18,3420,140.00,140.00,140.00,140.00,60,500,0
SGN,20161226,135.71,139.96,135.71,139.66,4743,137.50,141.80,137.50,141.50,0,500,0
SGN,20161223,138.18,138.18,135.22,138.18,10100,140.00,140.00,137.00,140.00,0,10000,0
SGN,20161222,134.23,136.21,134.23,135.22,14800,136.00,138.00,136.00,137.00,0,14500,0
SGN,20161221,134.23,135.22,129.29,135.22,1730,136.00,137.00,131.00,137.00,0,0,0
SGN,20161219,133.73,135.71,133.73,135.22,7000,135.50,137.50,135.50,137.00,0,2900,0
SGN,20161216,129.78,133.24,129.29,133.24,14600,131.50,135.00,131.00,135.00,0,400,0
SGN,20161215,128.80,129.29,128.80,129.29,6300,130.50,131.00,130.50,131.00,0,0,0
SGN,20161214,128.80,129.29,128.30,129.29,15930,130.50,131.00,130.00,131.00,0,4600,0
SGN,20161213,130.28,130.28,126.92,127.81,4640,132.00,132.00,128.60,129.50,0,0,0
SGN,20161212,130.28,130.28,130.28,130.28,125,132.00,132.00,132.00,132.00,0,0,0
SGN,20161207,131.27,131.27,131.27,131.27,310,133.00,133.00,133.00,133.00,0,300,0
SGN,20161206,131.27,131.27,131.27,131.27,300,133.00,133.00,133.00,133.00,0,300,0
SGN,20161202,136.20,136.20,136.20,136.20,310,139.50,139.50,139.50,139.50,0,0,0
SGN,20161201,127.90,127.90,127.90,127.90,460,131.00,131.00,131.00,131.00,0,0,0
SGN,20161130,123.51,127.22,123.51,127.22,1520,126.50,130.30,126.50,130.30,0,1000,0
SGN,20161129,126.92,127.90,126.92,127.90,1800,130.00,131.00,130.00,131.00,0,0,0
SGN,20161128,125.95,127.02,125.95,126.63,3400,129.00,130.10,129.00,129.70,0,300,0
SGN,20161125,126.93,126.93,125.46,125.95,5500,130.00,130.00,128.50,129.00,200000,1500,0
SGN,20161124,124.97,126.93,124.97,125.95,5760,128.00,130.00,128.00,129.00,0,0,0
SGN,20161123,124.00,124.00,123.02,123.90,6400,127.00,127.00,126.00,126.90,0,1500,0
SGN,20161122,123.99,123.99,123.01,123.12,2374,127.00,127.00,126.00,126.10,0,0,0
SGN,20161121,133.75,133.75,126.92,126.92,705,137.00,137.00,130.00,130.00,0,0,0
